Tarih,KFE_Turkiye_duzey,Yeni_Konut_FE_duzey,Eski_Konut_FE_duzey,Kira_Endeksi_duzey,KFE_Turkiye_aylik,Yeni_Konut_FE_aylik,Eski_Konut_FE_aylik,Kira_Endeksi_aylik,KFE_Turkiye_yillik,Yeni_Konut_FE_yillik,Eski_Konut_FE_yillik,Kira_Endeksi_yillik,Birim_Fiyat_TLm2,Birim_Kira_TLm2,Satis_Toplam,Satis_Ipotekli,Satis_IlkEl,Satis_IkinciEl,YEARWEEK,Konut_Kredi_Faiz,Ruhsat_Apt_Yapi,Ruhsat_Apt_Yuzolcum,Ruhsat_Apt_Daire,Ruhsat_Ev_Yapi,Ruhsat_Ev_Yuzolcum,Ruhsat_Ev_Daire,Insaat_Maliyet_Yillik_Degisim,Insaat_Uretim_Yillik_Degisim,Insaat_Uretim_Aylik_Degisim,Insaat_Guven_Endeks,Insaat_Maliyet_Aylik_Degisim,Ruhsat_Konut_Yapi,Ruhsat_Konut_Yuzolcum,Ruhsat_Konut_Daire,Ipotekli_Oran,IlkEl_Oran,Amortisman_Ay
2013-01-01,5.96,5.73,6.14,,1.18845501,0.88028169,1.65562914,,10.37037037,10.40462428,10.83032491,,1356.4,,,,,,,,4876.0,6332578.8,43072.0,1467.0,289810.7,1467.0,,,,,,6343.0,6622389.5,44539.0,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,0.0,0.0,0.0,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,9.78,,,,,,,,,,,,0.0,0.0,0.0,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,9.76,,,,,,,,,,,,0.0,0.0,0.0,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,9.66,,,,,,,,,,,,0.0,0.0,0.0,,,
2013-02-01,6.02,5.82,6.19,,1.00671141,1.57068063,0.81433225,,10.4587156,11.49425287,10.33868093,,,,,,,,,9.54,4862.0,6956228.7,49115.0,1489.0,299758.0,1489.0,,,,,,6351.0,7255986.7,50604.0,,,
2013-02-08,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,0.0,0.0,0.0,,,
2013-02-15,,,,,,,,,,,,,,,,,,,,9.61,,,,,,,,,,,,0.0,0.0,0.0,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,9.56,,,,,,,,,,,,0.0,0.0,0.0,,,
2013-03-01,6.12,5.91,6.3,,1.66112957,1.54639175,1.77705977,,11.67883212,12.35741445,11.70212766,,,,,,,,,9.46,6062.0,9828460.5,65497.0,1862.0,369493.3,1862.0,,,,,,7924.0,10197953.8,67359.0,,,
