Tarih,YEARWEEK_x_x,KT1,KT2,KT3,KT4,KT5,KT6,KT7,KT8,KT9,KT10,KT11,KT12,KT13,KT14,KT15,YEARWEEK_y_x,KT16,KT17,KT18,KT19,KT20,KT21,KT22,KT23,KT24,KT25,KT26,KT49,KT50,KT51,KT52,YEARWEEK_x_y,KA1,KA2,KA3,KA4,KA5,KA6,KA7,KA8,KA9,KA10,KA11,KA12,KA13,KA14,KA15,YEARWEEK_y_y,KA16,KA17,KA18,KA19,KA20,KA21,KA22,KA23,KA24,KA25,KA26,KA49,KA50,KA51,KA52
2015-01-02,0.0,9712045.0,14850.0,327778.0,760595.0,575139.0,24719.0,171344.0,862596.0,923625.0,132212.0,983990.0,120870.0,51730.0,11508.0,192532.0,0.0,1893961.0,401885.0,56529.0,284120.0,184372.0,555693.0,277853.0,380969.0,303534.0,0.0,0.0,219641.0,985152.0,473283.0,0.0,0.0,77608520.0,32420.0,789968.0,5887526.0,5533959.0,60791.0,1686552.0,2671726.0,11042976.0,441550.0,3107523.0,315264.0,394105.0,133688.0,324980.0,0.0,25675100.0,1673043.0,85303.0,2788805.0,1022542.0,2288578.0,2565311.0,958635.0,7535844.0,0.0,0.0,592331.0,4424967.0,1277988.0,0.0
2015-01-09,0.0,8867710.0,15045.0,284737.0,722887.0,521694.0,19612.0,138247.0,519533.0,699001.0,148868.0,1527824.0,94727.0,40816.0,8521.0,159499.0,0.0,1592059.0,303362.0,47805.0,267797.0,196935.0,414623.0,337604.0,333178.0,241830.0,0.0,0.0,231506.0,860409.0,402899.0,0.0,0.0,67323989.0,27152.0,801179.0,5245265.0,4609237.0,67401.0,1191562.0,2085109.0,7973162.0,482382.0,3063897.0,261418.0,356473.0,117033.0,258176.0,0.0,22555872.0,1192140.0,83608.0,2566574.0,909125.0,1946531.0,3306999.0,849115.0,6782472.0,0.0,0.0,592107.0,4800681.0,1162517.0,0.0
2015-01-16,0.0,9233179.0,16644.0,281775.0,779563.0,561880.0,23243.0,220942.0,599471.0,719319.0,163154.0,1221417.0,100066.0,46971.0,10090.0,168719.0,0.0,1720074.0,336458.0,56365.0,300553.0,231560.0,465798.0,330536.0,358914.0,277207.0,0.0,0.0,242460.0,1001081.0,492327.0,0.0,0.0,74771587.0,31209.0,773963.0,5463888.0,5157766.0,75624.0,1467054.0,2383965.0,8448212.0,509320.0,4792506.0,305650.0,423031.0,135556.0,290340.0,0.0,24337735.0,1358929.0,94634.0,2823953.0,1094792.0,2304586.0,3173842.0,909611.0,7749032.0,0.0,0.0,666389.0,5681172.0,1549090.0,0.0
2015-01-23,0.0,9420952.0,16325.0,278219.0,788049.0,550066.0,22025.0,240548.0,616348.0,723386.0,165448.0,1356895.0,102558.0,46693.0,10174.0,173180.0,0.0,1682718.0,350817.0,57337.0,338579.0,220738.0,441733.0,329648.0,369700.0,298742.0,0.0,0.0,241026.0,1056686.0,464049.0,0.0,0.0,74983387.0,31782.0,749132.0,5733115.0,5186908.0,52460.0,1517834.0,2379375.0,8680888.0,493101.0,4619561.0,327627.0,438779.0,144251.0,272722.0,0.0,23595356.0,1460001.0,95917.0,2937873.0,1202663.0,2212478.0,3132427.0,934782.0,8081867.0,0.0,0.0,702488.0,5650536.0,1537995.0,0.0
2015-01-30,0.0,10220057.0,17523.0,300234.0,804846.0,564948.0,21275.0,218632.0,670913.0,744112.0,169385.0,1902888.0,118521.0,55719.0,10458.0,168365.0,0.0,1755613.0,369235.0,63643.0,321181.0,234795.0,501957.0,297133.0,372206.0,311358.0,0.0,0.0,225117.0,1484559.0,447958.0,0.0,0.0,75193303.0,33773.0,737690.0,5901483.0,5395110.0,78300.0,1395974.0,2348958.0,8771404.0,496233.0,5890960.0,350665.0,438726.0,139045.0,267201.0,0.0,22819143.0,1486896.0,96224.0,2910740.0,1278439.0,2209529.0,2459938.0,924894.0,8164967.0,0.0,0.0,597011.0,6188817.0,1286599.0,0.0
2015-02-06,0.0,9474187.0,17718.0,271502.0,789871.0,554058.0,19783.0,225473.0,677362.0,703078.0,166391.0,1505866.0,134133.0,51962.0,10656.0,164009.0,0.0,1605342.0,332362.0,56283.0,313278.0,251469.0,425966.0,321011.0,342286.0,312541.0,0.0,0.0,221787.0,1281062.0,485267.0,0.0,0.0,70619583.0,33999.0,698388.0,5749838.0,5172807.0,64461.0,1252784.0,2217597.0,8595835.0,509014.0,4358388.0,341902.0,405616.0,141172.0,257348.0,0.0,21222629.0,1430545.0,90219.0,2833470.0,1212471.0,1980266.0,2991943.0,896631.0,7575977.0,0.0,0.0,586283.0,5616822.0,1257047.0,0.0
2015-02-13,0.0,9750311.0,19750.0,265042.0,768291.0,578114.0,19594.0,251790.0,647952.0,692406.0,166667.0,1642690.0,132264.0,45072.0,9929.0,215287.0,0.0,1770880.0,324900.0,50841.0,315439.0,261854.0,419238.0,337334.0,324744.0,286532.0,0.0,0.0,203701.0,892951.0,463314.0,0.0,0.0,72832507.0,35252.0,674902.0,5655465.0,5343640.0,48703.0,1429649.0,2486844.0,8479825.0,519310.0,3710458.0,343502.0,321821.0,141836.0,400477.0,0.0,23564137.0,1487883.0,94856.0,2989551.0,1165792.0,2080392.0,2913950.0,877837.0,7541255.0,0.0,0.0,525170.0,5253679.0,1424136.0,0.0
2015-02-20,0.0,9250091.0,15766.0,263643.0,742687.0,559599.0,21013.0,227939.0,705355.0,658034.0,155493.0,1145139.0,130780.0,41971.0,9856.0,227833.0,0.0,1763613.0,320909.0,47217.0,324772.0,270624.0,440975.0,339646.0,319714.0,296177.0,0.0,0.0,221336.0,863300.0,458809.0,0.0,0.0,73409476.0,31494.0,659663.0,5371016.0,5407813.0,69477.0,1483356.0,2477011.0,7951930.0,481261.0,4166760.0,365823.0,310889.0,144959.0,390968.0,0.0,23941791.0,1369239.0,87730.0,2836094.0,1027323.0,2207896.0,3052330.0,856487.0,7978589.0,0.0,0.0,739577.0,5116248.0,1564800.0,0.0
2015-02-27,0.0,9673165.0,16172.0,309033.0,791112.0,599632.0,23327.0,237674.0,654331.0,684119.0,166881.0,1216896.0,132892.0,47925.0,10094.0,182731.0,0.0,1840194.0,349216.0,52356.0,333505.0,293405.0,515941.0,334922.0,348001.0,310521.0,0.0,0.0,222285.0,971927.0,497459.0,0.0,0.0,74767609.0,33892.0,724301.0,5745677.0,5593819.0,75510.0,1561402.0,2309874.0,7955273.0,527071.0,3763337.0,357855.0,333919.0,153542.0,269308.0,0.0,24347875.0,1487841.0,92986.0,3018809.0,1066167.0,2367228.0,2846593.0,911119.0,8641342.0,0.0,0.0,582869.0,4981218.0,1518720.0,0.0
2015-03-06,0.0,10215035.0,17300.0,310399.0,841981.0,615132.0,24564.0,247119.0,683321.0,697358.0,186289.0,544990.0,137870.0,52919.0,10348.0,186563.0,0.0,1839174.0,360661.0,53486.0,332685.0,311781.0,468895.0,351458.0,388428.0,326235.0,863235.0,81260.0,281584.0,1109791.0,547526.0,592840.0,0.0,76374371.0,35162.0,751065.0,5969865.0,5700187.0,60668.0,1568788.0,2266589.0,8037370.0,575531.0,2930998.0,364603.0,385912.0,148621.0,264015.0,0.0,24238916.0,1472188.0,96590.0,3252987.0,1131173.0,2092141.0,3179536.0,950050.0,8842669.0,917878.0,461183.0,679686.0,5088451.0,1635285.0,26719.0
2015-03-13,0.0,10512000.0,19011.0,305743.0,854495.0,644675.0,24184.0,226733.0,649196.0,726472.0,187905.0,468273.0,138112.0,47151.0,11044.0,187912.0,0.0,1903076.0,355315.0,55631.0,345605.0,257295.0,401954.0,377699.0,413311.0,327848.0,1238366.0,60434.0,284560.0,903830.0,490948.0,1090231.0,0.0,79698870.0,37937.0,775930.0,6182501.0,6035116.0,51733.0,1570288.0,2460389.0,8483484.0,557798.0,2934164.0,368892.0,353025.0,161655.0,346383.0,0.0,25604013.0,1537337.0,101494.0,3438696.0,1145630.0,1906034.0,3377645.0,1002762.0,9435982.0,828813.0,330204.0,670965.0,5044892.0,1448011.0,27049.0
