Tarih,TÜFE Genel_duzey,Gıda ve Alkolsüz İçecekler_duzey,"Alkollü İçecekler, Tütün_duzey",Giyim ve Ayakkabı_duzey,"Konut, Su, Elektrik, Gaz_duzey","Mobilya, Ev Ekipmanları_duzey",Sağlık_duzey,Ulaştırma_duzey,Bilgi ve İletişim_duzey,"Eğlence, Spor, Kültür_duzey",Eğitim_duzey,Lokanta ve Konaklama_duzey,Sigorta ve Finansal Hizmetler_duzey,"Kişisel Bakım, Çeşitli_duzey",Çekirdek B_duzey,Çekirdek C_duzey,Çekirdek D_duzey,TÜFE Genel_aylik,Gıda ve Alkolsüz İçecekler_aylik,"Alkollü İçecekler, Tütün_aylik",Giyim ve Ayakkabı_aylik,"Konut, Su, Elektrik, Gaz_aylik","Mobilya, Ev Ekipmanları_aylik",Sağlık_aylik,Ulaştırma_aylik,Bilgi ve İletişim_aylik,"Eğlence, Spor, Kültür_aylik",Eğitim_aylik,Lokanta ve Konaklama_aylik,Sigorta ve Finansal Hizmetler_aylik,"Kişisel Bakım, Çeşitli_aylik",Çekirdek B_aylik,Çekirdek C_aylik,Çekirdek D_aylik,TÜFE Genel_yillik,Gıda ve Alkolsüz İçecekler_yillik,"Alkollü İçecekler, Tütün_yillik",Giyim ve Ayakkabı_yillik,"Konut, Su, Elektrik, Gaz_yillik","Mobilya, Ev Ekipmanları_yillik",Sağlık_yillik,Ulaştırma_yillik,Bilgi ve İletişim_yillik,"Eğlence, Spor, Kültür_yillik",Eğitim_yillik,Lokanta ve Konaklama_yillik,Sigorta ve Finansal Hizmetler_yillik,"Kişisel Bakım, Çeşitli_yillik",Çekirdek B_yillik,Çekirdek C_yillik,Çekirdek D_yillik
2012-01-01,6.35,4.79,7.14,17.97,6.14,5.99,6.43,6.18,21.84,7.66,5.87,4.01,4.33,5.6,6.53,6.93,6.63,0.63391442,1.05485232,0.0,-7.84615385,1.32013201,1.69779287,0.0,2.14876033,0.09165903,1.05540897,0.0,0.75376884,1.88235294,1.26582278,0.15337423,-0.14409222,0.60698027,10.6271777,11.65501166,18.60465116,7.86314526,9.05861456,11.75373134,0.15576324,12.97989031,0.73800738,10.21582734,6.34057971,8.08625337,11.59793814,18.39323467,8.65224626,8.45070423,9.58677686
2012-02-01,6.38,4.89,7.14,17.23,6.17,6.05,6.47,6.2,21.77,7.66,5.88,4.03,4.37,5.62,6.53,6.92,6.64,0.47244094,2.08768267,0.0,-4.1179744,0.48859935,1.00166945,0.62208398,0.3236246,-0.32051282,0.0,0.17035775,0.49875312,0.92378753,0.35714286,0.0,-0.14430014,0.15082956,10.38062284,11.13636364,18.4079602,9.05063291,9.59147425,11.82994455,0.62208398,11.31059246,0.23020258,10.21582734,6.32911392,8.33333333,12.33933162,18.06722689,8.4717608,8.125,9.5709571
2012-03-01,6.41,4.87,7.14,17.42,6.21,6.1,6.49,6.27,21.74,7.67,5.89,4.06,4.35,5.66,6.56,6.95,6.68,0.47021944,-0.40899796,0.0,1.1027278,0.64829822,0.82644628,0.30911901,1.12903226,-0.13780432,0.1305483,0.17006803,0.74441687,-0.4576659,0.71174377,0.45941807,0.43352601,0.60240964,10.51724138,11.18721461,18.4079602,9.42211055,9.91150442,11.72161172,0.77639752,10.77738516,-0.09191176,9.10384068,6.31768953,8.55614973,11.53846154,17.42738589,8.25082508,7.91925466,9.3289689
2012-04-01,6.5,4.87,7.14,19.72,6.41,6.15,6.53,6.29,21.74,7.74,5.92,4.11,4.38,5.68,6.67,7.09,6.81,1.40405616,0.0,0.0,13.2032147,3.22061192,0.81967213,0.61633282,0.31897927,0.0,0.91264668,0.50933786,1.23152709,0.68965517,0.35335689,1.67682927,2.01438849,1.94610778,11.11111111,11.69724771,18.4079602,11.66477916,13.05114638,10.61151079,1.24031008,9.96503497,1.73139916,9.01408451,6.47482014,9.30851064,12.02046036,17.59834369,8.63192182,8.24427481,10.19417476
2012-05-01,6.49,4.75,7.15,21.41,6.41,6.12,6.53,6.2,21.65,7.86,5.98,4.14,4.38,5.69,6.75,7.19,6.85,-0.15384615,-2.46406571,0.14005602,8.56997972,0.0,-0.48780488,0.0,-1.43084261,-0.41398344,1.5503876,1.01351351,0.72992701,0.0,0.17605634,1.1994003,1.41043724,0.58737151,8.34724541,3.93873085,18.57379768,8.56997972,12.45614035,9.87432675,1.24031008,7.82608696,1.83443086,8.4137931,6.40569395,9.2348285,10.05025126,16.12244898,8.17307692,7.79610195,9.25039872
2012-06-01,6.43,4.59,7.15,21.24,6.42,6.15,6.54,6.12,21.98,8.0,6.08,4.16,4.42,5.73,6.78,7.21,6.86,-0.92449923,-3.36842105,0.0,-0.79402149,0.15600624,0.49019608,0.15313936,-1.29032258,1.52424942,1.78117048,1.6722408,0.48309179,0.91324201,0.7029877,0.44444444,0.27816412,0.1459854,8.79864636,7.4941452,18.57379768,7.00251889,12.43432574,9.82142857,1.23839009,6.06585789,2.80636109,9.89010989,6.66666667,9.18635171,10.5,14.82965932,8.13397129,7.29166667,8.88888889
2012-07-01,6.42,4.61,7.15,20.31,6.38,6.13,6.54,6.14,22.0,8.03,6.15,4.19,4.59,5.75,6.77,7.19,6.84,-0.155521,0.43572985,0.0,-4.37853107,-0.62305296,-0.32520325,0.0,0.32679739,0.09099181,0.375,1.15131579,0.72115385,3.84615385,0.34904014,-0.14749263,-0.27739251,-0.29154519,9.18367347,9.24170616,18.57379768,7.51720487,11.53846154,9.0747331,2.02808112,5.49828179,2.70774977,10.60606061,7.14285714,9.39947781,13.05418719,12.74509804,7.97448166,7.47384155,8.57142857
2012-08-01,6.45,4.67,7.15,19.37,6.43,6.17,6.53,6.24,21.98,8.1,6.21,4.21,4.7,5.78,6.76,7.17,6.86,0.46728972,1.30151844,0.0,-4.62826194,0.78369906,0.65252855,-0.1529052,1.6286645,-0.09090909,0.87173101,0.97560976,0.47732697,2.39651416,0.52173913,-0.14771049,-0.27816412,0.29239766,8.76897133,9.11214953,18.57379768,7.1942446,11.82608696,9.01060071,1.87207488,5.40540541,2.51865672,10.6557377,7.8125,9.35064935,14.35523114,8.44277674,7.6433121,7.17488789,8.20189274
2012-09-01,6.52,4.77,7.17,18.87,6.48,6.18,6.53,6.34,22.26,8.12,6.13,4.28,4.99,5.89,6.78,7.18,6.91,1.08527132,2.14132762,0.27972028,-2.58131131,0.77760498,0.16207455,0.0,1.6025641,1.27388535,0.24691358,-1.28824477,1.66270784,6.17021277,1.90311419,0.29585799,0.13947001,0.72886297,9.21273032,10.41666667,18.90547264,7.95194508,12.11072664,8.04195804,1.87207488,4.96688742,3.67955286,10.02710027,4.60750853,9.74358974,21.11650485,7.48175182,7.10900474,6.68647845,8.13771518
2012-10-01,6.65,4.85,7.21,20.15,6.69,6.21,6.53,6.47,22.45,8.14,6.15,4.3,5.15,5.93,6.87,7.27,7.05,1.99386503,1.67714885,0.55788006,6.78325384,3.24074074,0.48543689,0.0,2.05047319,0.85354897,0.24630542,0.32626427,0.46728972,3.20641283,0.67911715,1.32743363,1.25348189,2.0260492,7.77957861,7.77777778,4.64441219,6.72669492,11.68614357,6.88468158,1.71339564,6.58978583,3.88708931,9.1152815,4.77001704,9.41475827,23.79807692,9.4095941,6.84292379,6.13138686,8.29493088
2012-11-01,6.67,4.85,7.21,21.42,6.73,6.23,6.53,6.41,22.44,8.14,6.16,4.33,5.44,5.93,6.93,7.34,7.09,0.30075188,0.0,0.0,6.30272953,0.59790732,0.32206119,0.0,-0.92735703,-0.04454343,0.0,0.16260163,0.69767442,5.63106796,0.0,0.87336245,0.96286107,0.56737589,6.37958533,4.30107527,0.98039216,7.47616658,11.60862355,5.95238095,1.55520995,6.12582781,3.07762977,9.1152815,4.76190476,9.34343434,28.60520095,7.62250454,6.28834356,5.76368876,7.75075988
2012-12-01,6.7,4.92,7.21,21.1,6.75,6.24,6.53,6.39,22.66,8.12,6.16,4.35,5.55,5.93,6.95,7.34,7.1,0.44977511,1.44329897,0.0,-1.49393091,0.29717682,0.16051364,0.0,-0.31201248,0.98039216,-0.24570025,0.0,0.46189376,2.02205882,0.0,0.28860029,0.0,0.14104372,6.18066561,3.79746835,0.98039216,8.20512821,11.38613861,5.94227504,1.55520995,5.61983471,3.84967919,7.12401055,4.94037479,9.29648241,30.58823529,7.23327306,6.59509202,5.76368876,7.73899848
