Tarih,ÜFE Genel_duzey,Madencilik ve Taşocakçılığı_duzey,İmalat_duzey,"Elektrik, Gaz, Buhar_duzey","Su Temini, Atık Yönetimi_duzey",Gıda Ürünleri_duzey,İçecekler_duzey,Tekstil_duzey,Giyim Eşyası_duzey,Deri_duzey,Kağıt_duzey,Kimyasallar_duzey,Ana Metaller_duzey,Makine ve Ekipmanlar_duzey,Mobilya_duzey,ÜFE Genel_aylik,Madencilik ve Taşocakçılığı_aylik,İmalat_aylik,"Elektrik, Gaz, Buhar_aylik","Su Temini, Atık Yönetimi_aylik",Gıda Ürünleri_aylik,İçecekler_aylik,Tekstil_aylik,Giyim Eşyası_aylik,Deri_aylik,Kağıt_aylik,Kimyasallar_aylik,Ana Metaller_aylik,Makine ve Ekipmanlar_aylik,Mobilya_aylik,ÜFE Genel_yillik,Madencilik ve Taşocakçılığı_yillik,İmalat_yillik,"Elektrik, Gaz, Buhar_yillik","Su Temini, Atık Yönetimi_yillik",Gıda Ürünleri_yillik,İçecekler_yillik,Tekstil_yillik,Giyim Eşyası_yillik,Deri_yillik,Kağıt_yillik,Kimyasallar_yillik,Ana Metaller_yillik,Makine ve Ekipmanlar_yillik,Mobilya_yillik
2012-01-01,203.09906196,283.05,196.35,221.88,160.99,201.31,202.15,190.92,134.96,171.3,187.17,187.42,292.1,180.32,197.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-01,202.9108697,282.56,196.35,210.47,161.59,203.37,200.19,188.89,138.09,168.48,186.4,189.43,279.76,179.11,208.99,-0.09266032948840319,-0.17311429076135587,0.0,-5.142419325761671,0.3726939561463416,1.0232974020167873,-0.9695770467474718,-1.0632725749004868,2.319205690574977,-1.646234676007019,-0.4113907143238671,1.0724575819016202,-4.224580623074303,-0.671029281277713,5.930356328247766,,,,,,,,,,,,,,,
2012-03-01,203.64382901,281.58,198.22,207.79,162.21,206.41,201.16,190.96,133.11,171.25,188.33,192.22,288.58,181.12,209.43,0.36122229976327525,-0.34682899207248985,0.952380952380949,-1.2733406186154816,0.3836871093508387,1.4948124108767225,0.48453968729706975,1.0958759066123314,-3.606343688898539,1.644112060778724,1.0354077253218907,1.4728395713456077,3.1527023162710943,1.1222153983585503,0.21053638930093044,,,,,,,,,,,,,,,
2012-04-01,203.81221155,288.79,198.57,207.59,162.59,206.13,203.98,190.84,136.19,170.67,188.47,193.26,289.42,180.95,213.16,0.0826848232124533,2.56055117550964,0.17657148622742813,-0.09625102266711538,0.23426422538683767,-0.13565234242527424,1.4018691588784993,-0.06284038542103687,2.3138757418676104,-0.3386861313868672,0.07433759889554636,0.5410467173030842,0.2910804629565611,-0.09386042402828032,1.7810246860526124,,,,,,,,,,,,,,,
2012-05-01,204.8918408,289.5,198.05,209.42,164.12,207.38,216.71,190.82,135.91,171.73,188.7,193.97,286.1,179.76,209.53,0.5297176463517017,0.24585338827520786,-0.2618723875711271,0.8815453538224327,0.9410172827357233,0.6064134284189615,6.240807922345337,-0.010479983232036805,-0.20559512445847972,0.6210816194996305,0.12203533718893045,0.36738073062196897,-1.1471218298666264,-0.6576402321083141,-1.7029461437417903,,,,,,,,,,,,,,,
2012-06-01,201.83124045,287.91,196.57,212.93,167.62,205.5,218.75,188.77,134.68,174.78,188.35,189.02,279.51,179.16,212.22,-1.4937638990649482,-0.5492227979274511,-0.7472860388790803,1.6760576831248208,2.132585912746765,-0.9065483653197037,0.9413501915001676,-1.074310868881656,-0.905010668824946,1.7760437896698456,-0.18547959724429797,-2.551941021807491,-2.3033904229290525,-0.33377837116154163,1.2838257051496216,,,,,,,,,,,,,,,
2012-07-01,201.1973297,284.57,196.37,206.09,166.69,206.59,219.19,187.91,134.51,174.01,187.54,188.28,276.48,179.07,213.49,-0.3140795986719569,-1.1600847487062027,-0.10174492547183611,-3.2123232987366745,-0.5548263930318598,0.530413625304127,0.2011428571428553,-0.4555808656036553,-0.12622512622514348,-0.4405538391120345,-0.43005043801433995,-0.3914929637075515,-1.0840399270151235,-0.05023442732753347,0.5984355857129531,,,,,,,,,,,,,,,
2012-08-01,201.71238219,289.63,197.12,207.59,166.57,208.73,218.67,186.43,136.88,174.63,184.07,188.45,274.61,178.69,210.12,0.25599370069571137,1.7781213761113301,0.38193206701635507,0.7278373526129256,-0.07198992141100868,1.0358681446342999,-0.23723710023267897,-0.7876110904156186,1.7619507843283033,0.3563013619906963,-1.8502719419857039,0.09029105587421427,-0.676359953703709,-0.21220751661361614,-1.57852826830297,,,,,,,,,,,,,,,
2012-09-01,203.79240184,294.03,198.97,209.7,166.83,211.58,220.18,187.96,138.29,174.68,184.13,190.83,273.45,180.61,214.17,1.0311809455706866,1.519179642992774,0.9385146103896069,1.0164266101449826,0.15609053250886795,1.365400277870954,0.6905382539900362,0.8206833664109903,1.0300993571010997,0.028631964725422954,0.03259629488781002,1.2629344653754426,-0.42241724627655186,1.0744865409368254,1.9274700171330483,,,,,,,,,,,,,,,
2012-10-01,204.14897664,293.69,199.7,207.14,168.04,213.29,217.02,189.99,142.12,172.84,185.24,191.76,269.92,181.46,214.44,0.17496962437291153,-0.11563445906879188,0.36688948082626016,-1.220791607057703,0.7252892165677594,0.8082049343038022,-1.4351893904986812,1.080017024898905,2.7695422662520786,-1.0533547057476556,0.6028349535654343,0.4873447571136502,-1.2909124154324325,0.47062731853164674,0.12606807676145415,,,,,,,,,,,,,,,
