Tarih,ÜFE Genel_duzey,Madencilik ve Taşocakçılığı_duzey,İmalat_duzey,"Elektrik, Gaz, Buhar_duzey","Su Temini, Atık Yönetimi_duzey",Gıda Ürünleri_duzey,İçecekler_duzey,Tekstil_duzey,Giyim Eşyası_duzey,Deri_duzey,Kağıt_duzey,Kimyasallar_duzey,Ana Metaller_duzey,Makine ve Ekipmanlar_duzey,Mobilya_duzey,ÜFE Genel_aylik,Madencilik ve Taşocakçılığı_aylik,İmalat_aylik,"Elektrik, Gaz, Buhar_aylik","Su Temini, Atık Yönetimi_aylik",Gıda Ürünleri_aylik,İçecekler_aylik,Tekstil_aylik,Giyim Eşyası_aylik,Deri_aylik,Kağıt_aylik,Kimyasallar_aylik,Ana Metaller_aylik,Makine ve Ekipmanlar_aylik,Mobilya_aylik,ÜFE Genel_yillik,Madencilik ve Taşocakçılığı_yillik,İmalat_yillik,"Elektrik, Gaz, Buhar_yillik","Su Temini, Atık Yönetimi_yillik",Gıda Ürünleri_yillik,İçecekler_yillik,Tekstil_yillik,Giyim Eşyası_yillik,Deri_yillik,Kağıt_yillik,Kimyasallar_yillik,Ana Metaller_yillik,Makine ve Ekipmanlar_yillik,Mobilya_yillik
2012-01-01,203.09906196,283.05,196.35,221.88,160.99,201.31,202.15,190.92,134.96,171.3,187.17,187.42,292.1,180.32,197.29,0.38184755,1.42253117,0.1121705,1.13496513,0.44297479,0.14924631,-0.57544757,-0.82077922,-4.16814599,0.29861233,-0.34607603,-0.03200341,0.50925607,1.36031478,1.1847369,11.13218796,16.77461941,12.07831497,7.58861465,-0.54364614,10.8474203,7.66977364,6.85023506,5.17456359,13.33112802,14.66642161,15.99925729,14.8236959,10.2942076,14.42408073
2012-02-01,202.9108697,282.56,196.35,210.47,161.59,203.37,200.19,188.89,138.09,168.48,186.4,189.43,279.76,179.11,208.99,-0.09266033,-0.17311429,0.0,-5.14241933,0.37269396,1.0232974,-0.96957705,-1.06327257,2.31920569,-1.64623468,-0.41139071,1.07245758,-4.22458062,-0.67102928,5.93035633,9.1480633,13.43235648,9.53974895,6.49698932,6.92826893,10.03083915,6.19032463,0.6822664,4.70882621,10.95159697,10.64284442,13.68983315,6.00181873,7.92359605,18.38110343
2012-03-01,203.64382901,281.58,198.22,207.79,162.21,206.41,201.16,190.96,133.11,171.25,188.33,192.22,288.58,181.12,209.43,0.3612223,-0.34682899,0.95238095,-1.27334062,0.38368711,1.49481241,0.48453969,1.09587591,-3.60634369,1.64411206,1.03540773,1.47283957,3.15270232,1.1222154,0.21053639,8.2219181,10.15569987,8.97196262,5.61654976,6.83659356,10.63407836,5.79016566,-1.42473673,1.54867257,9.71234544,8.39136691,12.54098361,9.34374053,6.91853601,20.69502075
2012-04-01,203.81221155,288.79,198.57,207.59,162.59,206.13,203.98,190.84,136.19,170.67,188.47,193.26,289.42,180.95,213.16,0.08268482,2.56055118,0.17657149,-0.09625102,0.23426423,-0.13565234,1.40186916,-0.06284039,2.31387574,-0.33868613,0.0743376,0.54104672,0.29108046,-0.09386042,1.78102469,7.65407555,12.65896856,9.02053366,7.10452998,6.70035438,10.03576576,7.03678438,-2.78145695,3.92216711,8.58251686,6.29406125,12.50436605,13.30697256,8.70479394,21.05173491
2012-05-01,204.8918408,289.5,198.05,209.42,164.12,207.38,216.71,190.82,135.91,171.73,188.7,193.97,286.1,179.76,209.53,0.52971765,0.24585339,-0.26187239,0.88154535,0.94101728,0.60641343,6.24080792,-0.01047998,-0.20559512,0.62108162,0.12203534,0.36738073,-1.14712183,-0.65764023,-1.70294614,8.06038761,11.99226306,7.48982361,13.79048033,7.12793734,10.39659303,13.52016763,-1.62396247,-0.02942258,6.37388503,4.96161976,11.29152562,7.24192218,7.25536993,16.42495972
2012-06-01,201.83124045,287.91,196.57,212.93,167.62,205.5,218.75,188.77,134.68,174.78,188.35,189.02,279.51,179.16,212.22,-1.4937639,-0.5492228,-0.74728604,1.67605768,2.13258591,-0.90654837,0.94135019,-1.07431087,-0.90501067,1.77604379,-0.1854796,-2.55194102,-2.30339042,-0.33377837,1.28382571,6.44066026,11.42890317,5.96765499,14.5523994,7.94693457,10.14042234,14.3970296,-2.2980177,-1.30441155,7.9555281,4.40687361,7.12990252,-0.17143469,5.79273694,15.98622725
2012-07-01,201.1973297,284.57,196.37,206.09,166.69,206.59,219.19,187.91,134.51,174.01,187.54,188.28,276.48,179.07,213.49,-0.3140796,-1.16008475,-0.10174493,-3.2123233,-0.55482639,0.53041363,0.20114286,-0.45558087,-0.12622513,-0.44055384,-0.43005044,-0.39149296,-1.08403993,-0.05023443,0.59843559,6.13407179,8.82634135,4.46324077,10.59890523,7.93887198,9.44585717,12.34175593,-1.56110849,-1.55884075,7.89310516,3.64189002,5.06696429,-4.7638731,4.24380021,15.82573785
2012-08-01,201.71238219,289.63,197.12,207.59,166.57,208.73,218.67,186.43,136.88,174.63,184.07,188.45,274.61,178.69,210.12,0.2559937,1.77812138,0.38193207,0.72783735,-0.07198992,1.03586814,-0.2372371,-0.78761109,1.76195078,0.35630136,-1.85027194,0.09029106,-0.67635995,-0.21220752,-1.57852827,4.56459232,8.33769731,2.81660755,5.82687602,8.085134,8.61737004,11.90317793,-2.52535815,-0.52325581,7.7962963,1.13736264,1.44264413,-8.77350342,1.92219941,11.70653907
2012-09-01,203.79240184,294.03,198.97,209.7,166.83,211.58,220.18,187.96,138.29,174.68,184.13,190.83,273.45,180.61,214.17,1.03118095,1.51917964,0.93851461,1.01642661,0.15609053,1.36540028,0.69053825,0.82068337,1.03009936,0.02863196,0.03259629,1.26293447,-0.42241725,1.07448654,1.92747002,4.03499014,8.44613285,2.1773738,3.60160071,7.79220779,7.39011268,12.38834159,-2.78266267,-0.48931424,6.82485323,0.00543124,1.47293417,-11.00950273,1.55186955,13.22759715
2012-10-01,204.14897664,293.69,199.7,207.14,168.04,213.29,217.02,189.99,142.12,172.84,185.24,191.76,269.92,181.46,214.44,0.17496962,-0.11563446,0.36688948,-1.22079161,0.72528922,0.80820493,-1.43518939,1.08001702,2.76954227,-1.05335471,0.60283495,0.48734476,-1.29091242,0.47062732,0.12606808,2.57290734,5.55655393,1.6802444,-1.26787417,7.98097931,6.89620608,10.14007308,-3.29329126,0.82292849,4.94869148,-0.2154708,0.91038257,-10.57217639,1.43096702,9.5590865
2012-11-01,207.53643722,295.37,198.61,276.93,170.31,212.25,216.49,189.07,145.67,172.03,185.92,190.68,268.15,180.49,212.68,1.65930814,0.57203173,-0.54581873,33.69218886,1.35086884,-0.48759904,-0.24421712,-0.48423601,2.49788911,-0.46864152,0.36709134,-0.56320401,-0.65574985,-0.53455307,-0.8207424,3.60462816,5.96993506,1.63758252,29.58214403,7.45788378,5.93431823,6.80315738,-2.28435578,2.54839845,1.45072831,-0.45510521,1.68515358,-5.50112771,1.10351781,8.17354153
2012-12-01,207.28881583,294.4,198.63,275.42,170.98,211.18,218.08,189.34,146.82,172.74,185.89,190.69,265.01,181.6,215.01,-0.11931466,-0.32840167,0.01006999,-0.54526415,0.39340027,-0.5041225,0.73444501,0.14280425,0.78945562,0.41271871,-0.01613597,0.00524439,-1.17098639,0.61499252,1.0955426,2.45263622,5.48946539,1.27466476,25.53899448,6.67581732,5.05944978,7.25949243,-1.64155844,4.25335511,1.14175303,-1.0275796,1.71218263,-8.81219462,2.07982012,10.2728485
2013-01-01,206.91243132,302.55,199.21,272.45,177.27,211.23,221.28,189.82,147.68,175.34,186.59,191.73,265.95,183.22,208.85,-0.18157492,2.76834239,0.2920002,-1.07835306,3.67879284,0.02367648,1.46735143,0.2535122,0.58575126,1.50515225,0.37656679,0.5453878,0.3547036,0.89207048,-2.86498302,1.87759083,6.88924218,1.45658263,22.79159906,10.11242934,4.92772341,9.46326985,-0.57615755,9.42501482,2.35843549,-0.30987872,2.29964785,-8.95241356,1.608252,5.8593948
2013-02-01,206.64500022,304.04,200.54,234.49,179.42,214.3,227.56,190.14,142.98,175.85,187.72,193.22,266.41,184.97,208.97,-0.12924844,0.49248058,0.66763717,-13.93283171,1.21283917,1.45339204,2.83803326,0.16858076,-3.18255688,0.29086347,0.60560587,0.77713451,0.17296484,0.9551359,0.05745751,1.84028117,7.60192525,2.13394449,11.41255286,11.03409864,5.37444067,13.67201159,0.66176081,3.5411688,4.37440646,0.70815451,2.00073906,-4.77194738,3.27173245,-0.00956984
2013-03-01,208.32882566,305.89,202.34,239.14,180.12,216.23,228.49,194.0,143.13,176.32,189.06,194.42,269.31,184.74,209.79,0.81483967,0.60847257,0.89757654,1.98302699,0.39014603,0.90060663,0.40868342,2.0300831,0.10490978,0.26727324,0.71382911,0.62105372,1.08854773,-0.12434449,0.39240082,2.30058366,8.63342567,2.07849864,15.0873478,11.04124283,4.75752144,13.58620004,1.59195643,7.52760874,2.96058394,0.38761748,1.1445219,-6.67752443,1.99867491,0.17189514
2013-04-01,207.26900612,308.23,202.09,235.82,181.32,217.51,229.37,192.86,145.23,174.91,191.3,192.95,265.94,184.77,211.77,-0.50872439,0.76498088,-0.12355441,-1.3883081,0.66622252,0.59196226,0.38513721,-0.58762887,1.46719765,-0.7996824,1.18480906,-0.75609505,-1.25134603,0.01623904,0.94380094,1.69606843,6.73153503,1.77267462,13.59892095,11.51977366,5.52078785,12.44729875,1.05847831,6.63778545,2.48432648,1.50156524,-0.16040567,-8.11277728,2.11108041,-0.65209233
2013-05-01,209.33912092,307.82,201.95,240.45,181.97,217.89,229.54,194.25,145.35,175.97,191.87,191.12,265.51,185.41,215.51,0.99875753,-0.13301755,-0.06927607,1.96336189,0.35848224,0.17470461,0.07411606,0.72073006,0.08262756,0.60602596,0.29796132,-0.94843224,-0.16169061,0.34637658,1.76606696,2.17055013,6.32815199,1.9691997,14.81711393,10.87618816,5.06799113,5.92035439,1.7975055,6.94577294,2.46899202,1.67991521,-1.46929938,-7.19678434,3.14307966,2.85400659
2013-06-01,212.38981641,312.36,204.13,242.58,182.82,218.08,229.84,196.61,150.17,176.0,194.02,194.95,270.39,187.66,215.7,1.45729832,1.47488792,1.07947512,0.88583905,0.46710996,0.08719996,0.13069617,1.21492921,3.31613347,0.01704836,1.12055037,2.00397656,1.8379722,1.21352678,0.08816296,5.23138833,8.49223716,3.84595818,13.92476401,9.06813029,6.1216545,5.06971429,4.15320231,11.5013365,0.69802037,3.01035307,3.13723416,-3.26285285,4.74436258,1.63980775
2013-07-01,214.49955063,314.64,206.5,245.47,184.2,218.96,221.05,198.33,151.9,179.0,198.84,197.47,276.39,189.35,215.41,0.99333116,0.72992701,1.16102484,1.19135955,0.75484083,0.40352164,-3.82439958,0.87482834,1.1520277,1.70454545,2.48427997,1.29263914,2.21901698,0.90056485,-0.13444599,6.61152956,10.56682011,5.15862912,19.10815663,10.50452937,5.98770512,0.84857886,5.54520781,12.92840681,2.86765128,6.02538125,4.88102826,-0.03255208,5.74077177,0.89933955
2013-08-01,214.58869433,321.03,209.13,237.43,185.16,223.15,220.83,200.97,156.05,178.5,191.54,198.83,281.19,190.59,218.15,0.04155892,2.03089245,1.27360775,-3.27534933,0.52117264,1.91359152,-0.09952499,1.33111481,2.73206057,-0.27932961,-3.6712935,0.68871221,1.73667644,0.65487193,1.27199294,6.3835011,10.84141836,6.09273539,14.37448817,11.16047307,6.90844632,0.98778982,7.79917395,14.00496786,2.21611407,4.05823871,5.50809233,2.39612541,6.65957804,3.82162574
